Phenotype,Region,EventType,EventYear,AgeCategory,NumberTested,NumberResistant,PercentResistant,Lower95CI,Upper95CI
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2012, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2012,19-64,28,16,57.1,38.5,74.3
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2012,65+,25,17,68,48.1,83.8
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2012,All Ages,53,33,62.3,48.7,74.5
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2013,19-64,29,20,69,50.6,83.6
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2013,65+,27,21,77.8,59.3,90.4
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2013,All Ages,58,42,72.4,59.9,82.7
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2014,19-64,34,21,61.8,44.7,76.8
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,2014,All Ages,49,31,63.3,49.1,75.8
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,All Years,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,All Years,19-64,111,73,65.8,56.5,74.1
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,All Years,65+,85,64,75.3,65.3,83.5
Acinetobacter spp. MDR,Middle_Atlantic,CAUTI,All Years,All Ages,199,138,69.3,62.6,75.4
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2011,19-64,56,36,64.3,51.1,75.9
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2011,65+,37,25,67.6,51.3,81
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2011,All Ages,103,63,61.2,51.5,70.2
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2012,19-64,59,27,45.8,33.4,58.5
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2012,65+,45,37,82.2,69,91.3
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2012,All Ages,121,65,53.7,44.7,62.4
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2013,19-64,41,22,53.7,38.4,68.4
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2013,65+,37,28,75.7,60,87.4
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2013,All Ages,85,51,60,49.3,69.9
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2014,19-64,44,19,43.2,29.2,58
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2014,65+,34,24,70.6,53.8,83.9
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,2014,All Ages,82,43,52.4,41.6,63
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,All Years,19-64,200,104,52,45,58.8
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,All Years,65+,153,114,74.5,67.1,80.9
Acinetobacter spp. MDR,Middle_Atlantic,CLABSI,All Years,All Ages,391,222,56.8,51.8,61.6
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2011,All Ages,28,16,57.1,38.5,74.3
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2012,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2012,All Ages,28,9,32.1,16.9,50.8
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2013,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2013,All Ages,27,11,40.7,23.6,59.7
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2014,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,2014,All Ages,26,8,30.8,15.4,50.1
Acinetobacter spp. MDR,Middle_Atlantic,SSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Middle_Atlantic,SSI,All Years,19-64,57,18,31.6,20.5,44.4
Acinetobacter spp. MDR,Middle_Atlantic,SSI,All Years,65+,49,26,53.1,39.1,66.6
Acinetobacter spp. MDR,Middle_Atlantic,SSI,All Years,All Ages,109,44,40.4,31.4,49.7
Acinetobacter spp. MDR,Middle_Atlantic,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,2011,19-64,21,11,52.4,31.4,72.7
Acinetobacter spp. MDR,Mountain,All HAIs,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,2011,All Ages,33,21,63.6,46.3,78.5
Acinetobacter spp. MDR,Mountain,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,2012, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,All HAIs,2012,19-64,27,18,66.7,47.5,82.3
Acinetobacter spp. MDR,Mountain,All HAIs,2012,65+,21,15,71.4,49.7,87.5
Acinetobacter spp. MDR,Mountain,All HAIs,2012,All Ages,51,34,66.7,52.9,78.5
Acinetobacter spp. MDR,Mountain,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,2013,19-64,27,17,63,43.8,79.4
Acinetobacter spp. MDR,Mountain,All HAIs,2013,65+,23,21,91.3,74.1,98.5
Acinetobacter spp. MDR,Mountain,All HAIs,2013,All Ages,52,38,73.1,59.8,83.7
Acinetobacter spp. MDR,Mountain,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,2014,19-64,39,25,64.1,48.2,77.9
Acinetobacter spp. MDR,Mountain,All HAIs,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,2014,All Ages,61,36,59,46.3,70.8
Acinetobacter spp. MDR,Mountain,All HAIs,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,All HAIs,All Years,19-64,114,71,62.3,53.1,70.8
Acinetobacter spp. MDR,Mountain,All HAIs,All Years,65+,71,55,77.5,66.6,86
Acinetobacter spp. MDR,Mountain,All HAIs,All Years,All Ages,197,129,65.5,58.6,71.8
Acinetobacter spp. MDR,Mountain,CAUTI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,CAUTI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,CAUTI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2011,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2012, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,CAUTI,2012,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2012,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,CAUTI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,CAUTI,2013,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2013,All Ages,20,15,75,52.9,90.2
Acinetobacter spp. MDR,Mountain,CAUTI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2014,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,2014,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CAUTI,All Years,19-64,40,26,65,49.3,78.5
Acinetobacter spp. MDR,Mountain,CAUTI,All Years,65+,21,19,90.5,71.9,98.3
Acinetobacter spp. MDR,Mountain,CAUTI,All Years,All Ages,63,45,71.4,59.3,81.5
Acinetobacter spp. MDR,Mountain,CLABSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2011,All Ages,24,16,66.7,46.3,83.1
Acinetobacter spp. MDR,Mountain,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2012, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,CLABSI,2012,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2012,All Ages,32,21,65.6,48.1,80.4
Acinetobacter spp. MDR,Mountain,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2013,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2013,All Ages,28,20,71.4,52.8,85.7
Acinetobacter spp. MDR,Mountain,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2014,19-64,21,14,66.7,44.9,84.1
Acinetobacter spp. MDR,Mountain,CLABSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,2014,All Ages,35,21,60,43.2,75.1
Acinetobacter spp. MDR,Mountain,CLABSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,CLABSI,All Years,19-64,68,42,61.8,49.8,72.7
Acinetobacter spp. MDR,Mountain,CLABSI,All Years,65+,41,33,80.5,66.2,90.5
Acinetobacter spp. MDR,Mountain,CLABSI,All Years,All Ages,119,78,65.5,56.6,73.6
Acinetobacter spp. MDR,Mountain,SSI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,2011,65+,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,2011,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,2012, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,2012,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,2012,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,2013,19-64,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,2013,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,2014,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,2014,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,All Years,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,All Years, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,Mountain,SSI,All Years,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,All Years,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,Mountain,SSI,All Years,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,New_England,All HAIs,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,New_England,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,New_England,All HAIs,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,New_England,All HAIs,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,New_England,All HAIs,2011,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,New_England,All HAIs,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Acinetobacter spp. MDR,New_England,All HAIs,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Acinetobacter spp. MDR,New_England,All HAIs,2012,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
